record_id,record_date,year,month,developer_id,developer_name,developer_tier,project_name,emirate,locality,property_type,property_category,bedrooms,units_launched,launch_price_ppsf_aed,units_sold_pct,absorption_rate_units_pm,discount_offered_pct,payment_plan_offered,completion_status,possession_timeline_months,marketing_spend_estimate_aed,digital_ad_impressions,social_media_mentions,cityscape_presence,price_change_pct_mom,competitor_strength_score
COMP000381,2019-11-01,2019,11,DEV0018,Majid Al Futtaim,Tier 1,Majid Al Futtaim Dubai Marina Heights,Dubai,Dubai Marina,Studio,Premium,Studio,544,1956.87,44.1,120.0,4.67,Cash,Ready,16,205036,590460,1420,True,-0.19,83.1
COMP000382,2019-11-01,2019,11,DEV0002,DAMAC Properties,Tier 1,DAMAC Properties Dubai Hills Estate Park,Dubai,Dubai Hills Estate,Apartment,Ultra-Luxury,3BR,116,13773.21,56.6,16.4,6.61,Post-Handover Payment Plan (PHPP),Off-Plan,5,3068356,817888,284,True,0.32,87.0
COMP000383,2019-11-01,2019,11,DEV0012,Tiger Properties,Tier 2,Tiger Properties MBR City Heights,Dubai,MBR City,Apartment,Premium,1BR,177,2986.62,87.0,77.0,2.37,Cash,Off-Plan,19,389191,854225,93,True,1.44,44.4
COMP000384,2019-11-01,2019,11,DEV0019,Dubai Properties,Tier 1,Dubai Properties Khalifa City Tower,Abu Dhabi,Khalifa City,Apartment,Premium,1BR,39,2921.3,52.9,2.6,5.39,Cash,Ready,21,256848,192267,488,True,-1.01,57.3
COMP000385,2019-11-01,2019,11,DEV0018,Majid Al Futtaim,Tier 1,Majid Al Futtaim Al Qasimia Heights,Sharjah,Al Qasimia,Apartment,Mid-Market,5BR+,200,1485.18,64.9,32.5,3.29,Mortgage,Off-Plan,19,193074,295400,1091,True,-0.15,50.6
COMP000386,2019-11-01,2019,11,DEV0005,Meraas,Tier 1,Meraas Dubai Hills Estate Gardens,Dubai,Dubai Hills Estate,Apartment,Premium,2BR,96,2050.46,84.8,10.2,2.98,Cash,Ready,7,478036,542422,1123,True,0.52,64.2
COMP000387,2019-11-01,2019,11,DEV0014,Select Group,Tier 2,Select Group Al Furjan Gardens,Dubai,Al Furjan,Apartment,Premium,2BR,57,1538.24,57.9,33.0,5.87,Post-Handover Payment Plan (PHPP),Off-Plan,32,876980,1641393,641,True,1.46,62.8
COMP000388,2019-11-01,2019,11,DEV0005,Meraas,Tier 1,Meraas Al Reef Park,Abu Dhabi,Al Reef,Apartment,Mid-Market,3BR,28,1270.41,93.7,6.6,2.62,Mortgage,Ready,2,794135,1166748,2611,True,0.08,83.9
COMP000389,2019-11-01,2019,11,DEV0002,DAMAC Properties,Tier 1,DAMAC Properties Arabian Ranches Residences,Dubai,Arabian Ranches,Villa,Ultra-Luxury,1BR,84,7692.18,3.5,1.5,6.42,Cash,Ready,32,335292,1275724,310,True,0.63,80.4
COMP000390,2019-11-01,2019,11,DEV0010,Ellington Properties,Tier 2,Ellington Properties Al Marjan Island Heights,Ras Al Khaimah,Al Marjan Island,Villa,Mid-Market,1BR,202,996.78,48.3,48.8,2.0,Post-Handover Payment Plan (PHPP),Ready,4,645202,16387,617,True,-1.75,57.6
COMP000391,2019-11-01,2019,11,DEV0012,Tiger Properties,Tier 2,Tiger Properties Muwaileh Gardens,Sharjah,Muwaileh,Villa,Luxury,Studio,86,6390.96,50.8,14.6,6.22,Cash,Ready,14,484994,167891,2250,True,0.41,49.8
COMP000392,2019-11-01,2019,11,DEV0002,DAMAC Properties,Tier 1,DAMAC Properties Corniche Heights,Abu Dhabi,Corniche,Townhouse,Premium,4BR,363,2619.92,35.7,129.6,3.17,Mortgage,Off-Plan,12,1899366,93775,288,True,0.23,80.8
COMP000393,2019-11-01,2019,11,DEV0012,Tiger Properties,Tier 2,Tiger Properties Downtown Dubai Tower,Dubai,Downtown Dubai,Villa,Mid-Market,3BR,362,1311.93,65.8,238.2,3.88,Mortgage,Ready,23,533874,610167,1752,True,-1.41,94.8
COMP000394,2019-12-01,2019,12,DEV0007,Azizi Developments,Tier 2,Azizi Developments Dubai Hills Estate Heights,Dubai,Dubai Hills Estate,Apartment,Mid-Market,1BR,36,1039.07,78.4,9.4,1.62,Cash,Off-Plan,10,677233,316876,2744,False,2.47,84.7
COMP000395,2019-12-01,2019,12,DEV0008,Danube Properties,Tier 2,Danube Properties Arabian Ranches Heights,Dubai,Arabian Ranches,Villa,Luxury,1BR,367,4999.37,55.1,40.4,1.28,Cash,Off-Plan,26,634423,112078,320,False,-1.19,56.3
COMP000396,2019-12-01,2019,12,DEV0004,Nakheel,Tier 1,Nakheel Al Nuaimiya Residences,Ajman,Al Nuaimiya,Townhouse,Premium,3BR,41,1504.68,17.4,7.1,3.02,Mortgage,Off-Plan,18,208754,60212,1806,False,-1.63,58.3
COMP000397,2019-12-01,2019,12,DEV0012,Tiger Properties,Tier 2,Tiger Properties Al Marjan Island Tower,Ras Al Khaimah,Al Marjan Island,Apartment,Premium,2BR,411,2820.85,43.7,89.8,0.07,Cash,Ready,32,196899,357473,430,False,2.36,65.7
COMP000398,2019-12-01,2019,12,DEV0018,Majid Al Futtaim,Tier 1,Majid Al Futtaim Meydan Tower,Dubai,Meydan,Apartment,Affordable,3BR,86,742.02,43.0,9.2,6.15,Mortgage,Ready,5,660836,504691,1244,False,-0.32,62.3
COMP000399,2019-12-01,2019,12,DEV0014,Select Group,Tier 2,Select Group Muwaileh Residences,Sharjah,Muwaileh,Apartment,Premium,1BR,58,2171.71,43.3,25.1,6.99,Cash,Off-Plan,4,363002,227453,377,False,-3.12,74.5
COMP000400,2019-12-01,2019,12,DEV0020,Meydan Group,Tier 1,Meydan Group Dubai Hills Estate Heights,Dubai,Dubai Hills Estate,Commercial,Luxury,2BR,81,4127.32,48.7,13.1,4.52,Cash,Off-Plan,32,770792,948223,4781,False,1.94,86.7
COMP000401,2019-12-01,2019,12,DEV0005,Meraas,Tier 1,Meraas Al Shamkha Gardens,Abu Dhabi,Al Shamkha,Apartment,Affordable,1BR,473,694.88,100.0,473.0,1.83,Mortgage,Off-Plan,22,942184,1256052,745,False,-2.02,40.8
COMP000402,2019-12-01,2019,12,DEV0008,Danube Properties,Tier 2,Danube Properties Dubai Marina Park,Dubai,Dubai Marina,Penthouse,Affordable,Studio,57,305.61,42.0,6.0,1.05,Cash,Off-Plan,23,366589,1943034,2864,False,-1.6,84.6
COMP000403,2019-12-01,2019,12,DEV0006,Sobha Realty,Tier 1,Sobha Realty Al Shamkha Residences,Abu Dhabi,Al Shamkha,Penthouse,Premium,3BR,312,2720.12,73.7,115.0,1.73,Deferred Payment,Off-Plan,32,584064,165884,74,False,-0.9,47.0
COMP000404,2019-12-01,2019,12,DEV0006,Sobha Realty,Tier 1,Sobha Realty Downtown Dubai Heights,Dubai,Downtown Dubai,Apartment,Premium,Studio,40,2820.17,46.1,6.1,0.93,Post-Handover Payment Plan (PHPP),Off-Plan,12,392676,373533,1116,False,0.01,77.3
COMP000405,2019-12-01,2019,12,DEV0014,Select Group,Tier 2,Select Group Motor City Gardens,Dubai,Motor City,Townhouse,Mid-Market,1BR,105,999.38,37.7,7.9,4.78,Cash,Off-Plan,0,402711,707693,118,False,1.42,70.3
COMP000406,2019-12-01,2019,12,DEV0001,Emaar Properties,Tier 1,Emaar Properties Yas Island Park,Abu Dhabi,Yas Island,Apartment,Affordable,1BR,115,471.37,24.7,7.1,0.64,Cash,Off-Plan,2,355039,204267,765,False,0.68,49.1
COMP000407,2019-12-01,2019,12,DEV0006,Sobha Realty,Tier 1,Sobha Realty Sports City Tower,Dubai,Sports City,Apartment,Mid-Market,1BR,236,1029.52,73.5,173.5,0.77,Cash,Ready,24,400993,877528,43,False,2.02,70.1
COMP000408,2019-12-01,2019,12,DEV0011,RAK Properties,Tier 2,RAK Properties Al Shamkha Residences,Abu Dhabi,Al Shamkha,Villa,Luxury,5BR+,34,5597.87,64.7,11.0,0.95,Mortgage,Off-Plan,32,133084,418850,333,False,-1.36,61.5
COMP000409,2019-12-01,2019,12,DEV0014,Select Group,Tier 2,Select Group Al Hamra Village Residences,Ras Al Khaimah,Al Hamra Village,Commercial,Affordable,1BR,68,844.85,72.8,16.5,1.31,Mortgage,Off-Plan,33,107835,611289,959,False,2.31,63.8
COMP000410,2019-12-01,2019,12,DEV0008,Danube Properties,Tier 2,Danube Properties Saadiyat Island Gardens,Abu Dhabi,Saadiyat Island,Apartment,Affordable,Studio,30,819.92,58.8,8.8,0.62,Cash,Ready,30,1447303,537712,1083,False,-2.33,82.6
COMP000411,2019-12-01,2019,12,DEV0009,Binghatti,Tier 2,Binghatti Yas Island Heights,Abu Dhabi,Yas Island,Apartment,Luxury,3BR,119,5968.87,50.0,14.9,6.84,Post-Handover Payment Plan (PHPP),Off-Plan,22,187821,676258,0,False,2.84,50.6
COMP000412,2019-12-01,2019,12,DEV0006,Sobha Realty,Tier 1,Sobha Realty Al Furjan Gardens,Dubai,Al Furjan,Villa,Mid-Market,3BR,116,1267.36,37.7,10.9,4.19,Cash,Off-Plan,7,1055043,114802,239,False,0.16,94.7
COMP000413,2019-12-01,2019,12,DEV0004,Nakheel,Tier 1,Nakheel Dubai Hills Estate Residences,Dubai,Dubai Hills Estate,Townhouse,Mid-Market,Studio,287,989.21,60.1,172.5,6.31,Cash,Off-Plan,26,495693,66269,16,False,-0.89,65.0
COMP000414,2019-12-01,2019,12,DEV0013,Imtiaz Developments,Tier 2,Imtiaz Developments Masdar City Residences,Abu Dhabi,Masdar City,Villa,Luxury,Studio,33,4502.51,49.7,8.2,1.66,Cash,Ready,1,117219,1075061,14,False,2.55,59.2
COMP000415,2019-12-01,2019,12,DEV0002,DAMAC Properties,Tier 1,DAMAC Properties Discovery Gardens Residences,Dubai,Discovery Gardens,Apartment,Affordable,5BR+,196,813.62,28.5,27.9,2.21,Cash,Ready,27,276591,168977,81,False,0.09,67.6
COMP000416,2019-12-01,2019,12,DEV0016,Samana Developers,Tier 3,Samana Developers Hayat Island Tower,Ras Al Khaimah,Hayat Island,Villa,Luxury,Studio,156,4220.86,40.3,6.3,0.62,Cash,Ready,19,146146,1163338,311,False,-0.5,62.8
COMP000417,2019-12-01,2019,12,DEV0008,Danube Properties,Tier 2,Danube Properties Al Furjan Park,Dubai,Al Furjan,Commercial,Affordable,5BR+,86,422.35,91.3,19.6,0.29,Post-Handover Payment Plan (PHPP),Off-Plan,22,294515,532263,254,False,1.52,44.8
COMP000418,2019-12-01,2019,12,DEV0007,Azizi Developments,Tier 2,Azizi Developments Al Furjan Park,Dubai,Al Furjan,Apartment,Premium,3BR,54,2777.95,48.3,26.1,6.62,Cash,Off-Plan,25,258740,1734089,1268,False,0.75,91.9
COMP000419,2019-12-01,2019,12,DEV0015,Reportage Properties,Tier 3,Reportage Properties Saadiyat Island Gardens,Abu Dhabi,Saadiyat Island,Apartment,Premium,1BR,207,2981.7,48.1,99.6,0.94,Cash,Off-Plan,16,470783,18198,169,False,2.46,53.0
COMP000420,2019-12-01,2019,12,DEV0012,Tiger Properties,Tier 2,Tiger Properties Palm Jumeirah Residences,Dubai,Palm Jumeirah,Townhouse,Affordable,Studio,34,578.58,24.4,2.8,2.39,Construction-Linked,Ready,0,122951,665349,966,False,-0.01,88.2
COMP000421,2019-12-01,2019,12,DEV0010,Ellington Properties,Tier 2,Ellington Properties DAMAC Hills Heights,Dubai,DAMAC Hills,Apartment,Premium,1BR,477,2827.25,36.7,35.0,4.76,Construction-Linked,Ready,30,446915,295755,759,False,0.95,93.9
COMP000422,2019-12-01,2019,12,DEV0008,Danube Properties,Tier 2,Danube Properties Motor City Residences,Dubai,Motor City,Villa,Affordable,1BR,61,756.98,61.8,37.7,6.67,Cash,Off-Plan,10,1113481,368755,81,False,1.16,64.2
COMP000423,2019-12-01,2019,12,DEV0008,Danube Properties,Tier 2,Danube Properties Meydan Gardens,Dubai,Meydan,Apartment,Affordable,3BR,156,629.2,96.6,150.7,3.17,Cash,Ready,22,677854,156746,826,False,-1.21,50.3
COMP000424,2019-12-01,2019,12,DEV0001,Emaar Properties,Tier 1,Emaar Properties MBR City Park,Dubai,MBR City,Apartment,Mid-Market,1BR,223,1200.55,87.4,97.5,2.99,Mortgage,Ready,35,218785,484449,2061,False,1.31,87.4
COMP000425,2019-12-01,2019,12,DEV0007,Azizi Developments,Tier 2,Azizi Developments Al Yarmook Gardens,Sharjah,Al Yarmook,Plot,Luxury,2BR,121,4912.05,48.1,19.4,4.91,Construction-Linked,Ready,14,1495876,631619,4489,False,0.27,68.9
COMP000426,2019-12-01,2019,12,DEV0013,Imtiaz Developments,Tier 2,Imtiaz Developments Al Nahda Tower,Sharjah,Al Nahda,Apartment,Premium,5BR+,54,2168.69,60.0,10.8,6.71,Cash,Off-Plan,31,1685928,117293,389,False,1.77,46.5
COMP000427,2019-12-01,2019,12,DEV0011,RAK Properties,Tier 2,RAK Properties Dubai South Residences,Dubai,Dubai South,Townhouse,Premium,1BR,36,1726.65,63.2,11.4,1.5,Cash,Off-Plan,17,153562,118933,145,False,2.11,73.7
COMP000428,2019-12-01,2019,12,DEV0009,Binghatti,Tier 2,Binghatti Al Khan Residences,Sharjah,Al Khan,Apartment,Affordable,Studio,143,329.78,61.8,44.2,2.86,Mortgage,Ready,33,215801,173939,317,False,1.63,55.2
COMP000429,2019-12-01,2019,12,DEV0003,Aldar Properties,Tier 1,Aldar Properties Al Hamra Village Heights,Ras Al Khaimah,Al Hamra Village,Apartment,Mid-Market,2BR,60,1199.69,32.9,6.6,0.15,Mortgage,Ready,4,279221,1212790,569,False,-1.48,90.8
COMP000430,2020-01-01,2020,1,DEV0009,Binghatti,Tier 2,Binghatti Al Shamkha Residences,Abu Dhabi,Al Shamkha,Townhouse,Affordable,5BR+,23,377.12,45.3,3.5,2.61,Post-Handover Payment Plan (PHPP),Off-Plan,31,1132850,400166,22,False,0.08,78.9
COMP000431,2020-01-01,2020,1,DEV0012,Tiger Properties,Tier 2,Tiger Properties Al Majaz Gardens,Sharjah,Al Majaz,Villa,Mid-Market,1BR,93,1346.83,34.7,16.1,5.54,Mortgage,Off-Plan,4,1427474,236267,959,False,0.75,66.1
COMP000432,2020-01-01,2020,1,DEV0017,Object 1,Tier 3,Object 1 Masdar City Heights,Abu Dhabi,Masdar City,Villa,Affordable,2BR,92,425.07,34.8,4.0,4.73,Deferred Payment,Off-Plan,31,1094533,25948,758,False,-0.65,52.0
COMP000433,2020-01-01,2020,1,DEV0013,Imtiaz Developments,Tier 2,Imtiaz Developments Al Barsha Heights,Dubai,Al Barsha,Commercial,Luxury,2BR,198,3312.9,67.9,134.4,3.61,Cash,Ready,21,404465,65770,595,False,-2.96,75.9
COMP000434,2020-01-01,2020,1,DEV0018,Majid Al Futtaim,Tier 1,Majid Al Futtaim Yas Island Residences,Abu Dhabi,Yas Island,Apartment,Premium,Studio,65,2433.27,0.0,0.0,4.39,Mortgage,Off-Plan,14,69300,389101,286,False,0.98,80.4
COMP000435,2020-01-01,2020,1,DEV0011,RAK Properties,Tier 2,RAK Properties Al Taawun Residences,Sharjah,Al Taawun,Apartment,Premium,3BR,22,2089.33,59.2,4.3,4.72,Mortgage,Off-Plan,21,815853,2044697,227,False,1.14,73.9
COMP000436,2020-01-01,2020,1,DEV0001,Emaar Properties,Tier 1,Emaar Properties Khalifa City Residences,Abu Dhabi,Khalifa City,Villa,Mid-Market,1BR,64,991.9,34.7,22.2,1.61,Cash,Ready,33,404008,1729869,90,False,1.89,40.5
COMP000437,2020-01-01,2020,1,DEV0004,Nakheel,Tier 1,Nakheel Sports City Heights,Dubai,Sports City,Apartment,Mid-Market,1BR,24,1162.61,59.9,7.2,4.78,Post-Handover Payment Plan (PHPP),Off-Plan,2,570376,2021500,248,False,-0.3,56.6
COMP000438,2020-01-01,2020,1,DEV0009,Binghatti,Tier 2,Binghatti Arabian Ranches Gardens,Dubai,Arabian Ranches,Apartment,Premium,1BR,400,2578.08,20.9,41.8,3.61,Post-Handover Payment Plan (PHPP),Off-Plan,27,305114,1335582,245,False,0.7,52.6
COMP000439,2020-01-01,2020,1,DEV0006,Sobha Realty,Tier 1,Sobha Realty Al Qasimia Tower,Sharjah,Al Qasimia,Townhouse,Ultra-Luxury,4BR,224,9095.59,0.0,0.0,6.6,Cash,Off-Plan,14,1747947,908921,2074,False,0.76,59.5
COMP000440,2020-01-01,2020,1,DEV0019,Dubai Properties,Tier 1,Dubai Properties Al Nuaimiya Park,Ajman,Al Nuaimiya,Apartment,Ultra-Luxury,5BR+,72,10876.87,40.1,3.2,2.39,Cash,Off-Plan,13,181448,640171,1146,False,1.36,43.1
COMP000441,2020-01-01,2020,1,DEV0009,Binghatti,Tier 2,Binghatti Al Taawun Tower,Sharjah,Al Taawun,Townhouse,Affordable,1BR,32,396.34,54.9,3.5,2.59,Mortgage,Ready,32,524306,254123,1303,False,1.33,59.7
COMP000442,2020-01-01,2020,1,DEV0002,DAMAC Properties,Tier 1,DAMAC Properties Sports City Tower,Dubai,Sports City,Apartment,Premium,1BR,123,2456.19,72.9,89.7,6.79,Cash,Ready,17,397283,1158132,68,False,1.71,83.7
COMP000443,2020-01-01,2020,1,DEV0004,Nakheel,Tier 1,Nakheel Ajman Corniche Park,Ajman,Ajman Corniche,Villa,Mid-Market,Studio,30,1016.45,15.6,0.8,1.92,Post-Handover Payment Plan (PHPP),Ready,24,110722,421422,2452,False,-0.46,52.9
COMP000444,2020-01-01,2020,1,DEV0020,Meydan Group,Tier 1,Meydan Group Downtown Dubai Heights,Dubai,Downtown Dubai,Villa,Premium,2BR,127,2276.95,100.0,14.1,1.3,Cash,Ready,23,375583,520577,336,False,1.82,79.9
COMP000445,2020-01-01,2020,1,DEV0014,Select Group,Tier 2,Select Group Corniche Gardens,Abu Dhabi,Corniche,Apartment,Affordable,2BR,227,646.88,100.0,75.7,3.77,Deferred Payment,Ready,19,530540,114314,799,False,1.02,80.5
COMP000446,2020-01-01,2020,1,DEV0012,Tiger Properties,Tier 2,Tiger Properties Al Shamkha Residences,Abu Dhabi,Al Shamkha,Townhouse,Mid-Market,2BR,152,1124.63,50.4,25.5,5.09,Cash,Off-Plan,12,969213,752105,2864,False,-0.72,81.4
COMP000447,2020-01-01,2020,1,DEV0011,RAK Properties,Tier 2,RAK Properties Dubai Hills Estate Residences,Dubai,Dubai Hills Estate,Townhouse,Premium,2BR,215,1839.35,47.7,34.2,1.07,Cash,Off-Plan,13,362553,373818,535,False,1.5,42.2
COMP000448,2020-01-01,2020,1,DEV0014,Select Group,Tier 2,Select Group JBR Residences,Dubai,JBR,Townhouse,Affordable,1BR,86,327.22,40.3,34.7,3.33,Mortgage,Off-Plan,17,1540288,1058353,235,False,0.71,72.1
COMP000449,2020-01-01,2020,1,DEV0020,Meydan Group,Tier 1,Meydan Group MBR City Heights,Dubai,MBR City,Villa,Luxury,1BR,20,6871.24,78.2,15.6,0.71,Cash,Ready,7,628269,763366,982,False,-1.05,42.8
COMP000450,2020-01-01,2020,1,DEV0017,Object 1,Tier 3,Object 1 Al Barsha Residences,Dubai,Al Barsha,Commercial,Affordable,3BR,560,878.42,40.0,24.9,3.19,Cash,Off-Plan,6,47999,154807,602,False,0.01,53.7
COMP000451,2020-01-01,2020,1,DEV0004,Nakheel,Tier 1,Nakheel Corniche Gardens,Abu Dhabi,Corniche,Townhouse,Premium,4BR,29,1861.99,92.8,26.9,2.46,Mortgage,Off-Plan,16,673997,536390,711,False,5.02,50.8
COMP000452,2020-01-01,2020,1,DEV0013,Imtiaz Developments,Tier 2,Imtiaz Developments Dubai South Heights,Dubai,Dubai South,Apartment,Premium,4BR,99,2467.8,82.6,40.9,0.32,Deferred Payment,Ready,7,291981,110816,1069,False,1.34,69.4
COMP000453,2020-01-01,2020,1,DEV0019,Dubai Properties,Tier 1,Dubai Properties Dubai South Tower,Dubai,Dubai South,Apartment,Mid-Market,5BR+,198,903.16,69.4,137.4,2.39,Cash,Off-Plan,24,169574,407247,66,False,-0.22,69.5
COMP000454,2020-01-01,2020,1,DEV0007,Azizi Developments,Tier 2,Azizi Developments Downtown Dubai Gardens,Dubai,Downtown Dubai,Apartment,Mid-Market,5BR+,552,1560.94,12.7,11.7,3.51,Mortgage,Off-Plan,14,1354350,750046,694,False,1.15,43.5
COMP000455,2020-01-01,2020,1,DEV0009,Binghatti,Tier 2,Binghatti Al Nuaimiya Tower,Ajman,Al Nuaimiya,Villa,Premium,1BR,110,2281.26,62.9,34.6,4.32,Mortgage,Off-Plan,6,287465,668521,112,False,1.5,50.6
COMP000456,2020-01-01,2020,1,DEV0002,DAMAC Properties,Tier 1,DAMAC Properties Yas Acres Heights,Abu Dhabi,Yas Acres,Apartment,Premium,3BR,86,3140.74,82.6,7.1,5.15,Construction-Linked,Off-Plan,10,486754,219346,328,False,1.79,75.4
COMP000457,2020-01-01,2020,1,DEV0014,Select Group,Tier 2,Select Group Meydan Gardens,Dubai,Meydan,Penthouse,Premium,2BR,117,2277.45,12.2,3.6,1.51,Mortgage,Ready,21,332970,78117,630,False,-0.72,77.8
COMP000458,2020-01-01,2020,1,DEV0001,Emaar Properties,Tier 1,Emaar Properties DAMAC Hills Gardens,Dubai,DAMAC Hills,Commercial,Mid-Market,5BR+,21,1320.13,64.9,1.5,1.86,Construction-Linked,Ready,32,465656,293404,14,False,-1.27,74.1
COMP000459,2020-01-01,2020,1,DEV0017,Object 1,Tier 3,Object 1 Arabian Ranches Residences,Dubai,Arabian Ranches,Plot,Mid-Market,Studio,79,1260.58,65.4,8.6,3.48,Cash,Off-Plan,16,299833,13760,2711,False,-1.53,55.6
COMP000460,2020-01-01,2020,1,DEV0018,Majid Al Futtaim,Tier 1,Majid Al Futtaim Al Hamra Village Tower,Ras Al Khaimah,Al Hamra Village,Villa,Premium,2BR,62,2370.18,12.7,7.9,2.36,Cash,Ready,7,247402,784933,86,False,1.86,90.8
COMP000461,2020-02-01,2020,2,DEV0007,Azizi Developments,Tier 2,Azizi Developments Downtown Dubai Gardens,Dubai,Downtown Dubai,Apartment,Mid-Market,3BR,218,1242.27,72.7,79.2,0.79,Cash,Off-Plan,6,231170,116695,11,False,-0.26,73.3
COMP000462,2020-02-01,2020,2,DEV0012,Tiger Properties,Tier 2,Tiger Properties Yas Island Park,Abu Dhabi,Yas Island,Plot,Mid-Market,5BR+,65,905.36,8.8,2.9,4.6,Cash,Ready,3,1187427,721074,1499,False,1.84,79.6
COMP000463,2020-02-01,2020,2,DEV0014,Select Group,Tier 2,Select Group Al Qasimia Residences,Sharjah,Al Qasimia,Plot,Mid-Market,4BR,26,1541.6,92.8,4.0,1.81,Post-Handover Payment Plan (PHPP),Ready,33,1084181,1087185,351,False,1.67,44.5
COMP000464,2020-02-01,2020,2,DEV0003,Aldar Properties,Tier 1,Aldar Properties JBR Tower,Dubai,JBR,Villa,Premium,3BR,189,2931.77,69.1,130.6,5.47,Cash,Off-Plan,1,130792,287217,945,False,0.01,61.1
COMP000465,2020-02-01,2020,2,DEV0011,RAK Properties,Tier 2,RAK Properties Ajman Corniche Gardens,Ajman,Ajman Corniche,Apartment,Mid-Market,4BR,294,1186.9,9.7,9.5,1.43,Mortgage,Off-Plan,29,843058,32601,1032,False,0.21,46.5
COMP000466,2020-02-01,2020,2,DEV0020,Meydan Group,Tier 1,Meydan Group MBR City Residences,Dubai,MBR City,Apartment,Mid-Market,3BR,63,901.37,99.1,6.2,0.54,Mortgage,Ready,15,3450662,55378,2255,False,1.7,53.1
COMP000467,2020-02-01,2020,2,DEV0011,RAK Properties,Tier 2,RAK Properties Al Dhait Residences,Ras Al Khaimah,Al Dhait,Commercial,Affordable,1BR,89,513.79,65.7,58.5,6.96,Cash,Off-Plan,31,1146701,339520,818,False,-1.37,51.2
COMP000468,2020-02-01,2020,2,DEV0004,Nakheel,Tier 1,Nakheel Al Qasimia Gardens,Sharjah,Al Qasimia,Apartment,Mid-Market,4BR,125,1504.4,55.5,5.8,0.74,Post-Handover Payment Plan (PHPP),Off-Plan,33,451387,152097,230,False,-0.25,41.3
COMP000469,2020-02-01,2020,2,DEV0010,Ellington Properties,Tier 2,Ellington Properties Dubai Hills Estate Tower,Dubai,Dubai Hills Estate,Villa,Premium,3BR,120,2365.63,53.9,32.3,5.01,Cash,Off-Plan,34,239141,1337358,157,False,1.66,54.8
COMP000470,2020-02-01,2020,2,DEV0017,Object 1,Tier 3,Object 1 Al Ghadeer Residences,Abu Dhabi,Al Ghadeer,Townhouse,Premium,1BR,215,2014.0,50.8,15.6,6.04,Mortgage,Off-Plan,33,278342,444526,311,False,0.68,66.9
COMP000471,2020-02-01,2020,2,DEV0010,Ellington Properties,Tier 2,Ellington Properties DAMAC Hills Heights,Dubai,DAMAC Hills,Apartment,Luxury,2BR,421,3832.51,32.8,23.0,4.53,Mortgage,Ready,16,2232969,945678,501,False,-3.54,47.3
COMP000472,2020-02-01,2020,2,DEV0014,Select Group,Tier 2,Select Group Fujairah City Tower,Fujairah,Fujairah City,Apartment,Affordable,1BR,93,452.84,42.5,4.9,1.17,Cash,Ready,26,1003313,4264,3452,False,2.05,45.9
COMP000473,2020-02-01,2020,2,DEV0011,RAK Properties,Tier 2,RAK Properties MBR City Tower,Dubai,MBR City,Apartment,Premium,1BR,126,2992.23,58.8,12.3,6.07,Post-Handover Payment Plan (PHPP),Ready,23,1218277,66441,1064,False,0.57,50.4
COMP000474,2020-02-01,2020,2,DEV0013,Imtiaz Developments,Tier 2,Imtiaz Developments Yas Island Residences,Abu Dhabi,Yas Island,Villa,Mid-Market,2BR,61,1197.66,89.4,27.3,2.87,Post-Handover Payment Plan (PHPP),Off-Plan,24,1878620,237503,287,False,-0.94,84.4
COMP000475,2020-02-01,2020,2,DEV0010,Ellington Properties,Tier 2,Ellington Properties Corniche Park,Abu Dhabi,Corniche,Apartment,Luxury,3BR,92,7102.36,35.7,32.8,3.03,Cash,Off-Plan,35,1802919,248653,292,False,0.6,48.7
COMP000476,2020-02-01,2020,2,DEV0018,Majid Al Futtaim,Tier 1,Majid Al Futtaim Muwaileh Park,Sharjah,Muwaileh,Apartment,Luxury,2BR,25,7211.86,76.3,6.4,1.04,Mortgage,Off-Plan,34,324540,2425371,1308,False,-0.3,40.7
COMP000477,2020-02-01,2020,2,DEV0005,Meraas,Tier 1,Meraas Dubai South Park,Dubai,Dubai South,Apartment,Mid-Market,1BR,135,1374.42,94.5,63.8,5.85,Mortgage,Off-Plan,8,294601,138944,339,False,0.08,66.4
COMP000478,2020-02-01,2020,2,DEV0007,Azizi Developments,Tier 2,Azizi Developments Khalifa City Tower,Abu Dhabi,Khalifa City,Villa,Mid-Market,2BR,47,1553.29,22.3,3.5,6.91,Mortgage,Ready,10,196974,33762,693,False,3.54,59.3
COMP000479,2020-02-01,2020,2,DEV0014,Select Group,Tier 2,Select Group Al Furjan Park,Dubai,Al Furjan,Villa,Affordable,1BR,86,797.25,45.6,13.1,2.66,Mortgage,Off-Plan,26,422729,282747,1132,False,-0.52,90.1
COMP000480,2020-02-01,2020,2,DEV0013,Imtiaz Developments,Tier 2,Imtiaz Developments Palm Jumeirah Gardens,Dubai,Palm Jumeirah,Plot,Mid-Market,1BR,283,1434.09,57.6,32.6,5.46,Mortgage,Off-Plan,19,477206,217281,292,False,-1.21,87.2
COMP000481,2020-02-01,2020,2,DEV0006,Sobha Realty,Tier 1,Sobha Realty Al Ghadeer Residences,Abu Dhabi,Al Ghadeer,Penthouse,Mid-Market,1BR,49,1234.25,16.1,3.9,5.68,Mortgage,Off-Plan,30,327079,23639,542,False,1.8,73.8
COMP000482,2020-02-01,2020,2,DEV0020,Meydan Group,Tier 1,Meydan Group Al Majaz Heights,Sharjah,Al Majaz,Apartment,Mid-Market,3BR,71,1452.86,34.8,24.7,2.34,Cash,Off-Plan,31,293501,536988,2403,False,0.4,63.4
