vehicle_id,brand,model,variant,category,fuel_type,price_eur,engine_cc,power_kw,consumption_l_per_100km,consumption_kwh_per_100km,range_km,co2_g_per_km,emission_class,annual_vehicle_tax_eur,seating_capacity,transmission,drive_type,body_color_options,safety_rating,launch_year,is_active,warranty_years,service_contract_available,origin,residual_value_36mo
VH0156,Toyota,Yaris Cross,Business Edition,SUV,Hybrid,31000,1490.0,85,4.6,,,104,Euro 6d,48,5,Automatic,FWD,5,5,2021,True,3,False,Import,0.53
VH0157,Toyota,Corolla Touring Sports,Basis,Estate,Hybrid,34000,1798.0,103,4.5,,,102,Euro 6d,50,5,Automatic,FWD,9,5,2019,True,3,True,Import,0.53
VH0158,Toyota,Corolla Touring Sports,Business Edition,Estate,Hybrid,37500,1798.0,103,4.7,,,106,Euro 6d,58,5,Manual,FWD,9,5,2019,True,3,True,Import,0.53
VH0159,Toyota,C-HR,Basis,SUV,Hybrid,34000,1798.0,103,4.7,,,105,Euro 6d,56,5,Automatic,FWD,7,5,2023,True,3,True,Import,0.52
VH0160,Toyota,C-HR,Business Edition,SUV,Hybrid,37500,1798.0,103,4.9,,,109,Euro 6d,64,5,Automatic,FWD,8,5,2023,True,3,True,Import,0.52
VH0161,Toyota,RAV4,Basis,SUV,Plug-in Hybrid,52000,2487.0,225,1.0,,,22,Euro 6d,50,5,Automatic,AWD,5,5,2021,True,3,True,Import,0.55
VH0162,Toyota,RAV4,Business Edition,SUV,Plug-in Hybrid,57000,2487.0,225,1.2,,,23,Euro 6d,50,5,Automatic,AWD,5,5,2021,True,3,False,Import,0.55
VH0163,Toyota,Proace City,Basis,Van,Diesel,31000,1499.0,96,5.4,,,142,Euro 6d,244,5,Automatic,FWD,7,5,2020,True,3,True,Import,0.48
VH0164,Toyota,Proace City,Business Edition,Van,Diesel,34000,1499.0,96,5.6,,,148,Euro 6d,259,5,Manual,FWD,5,5,2020,True,3,False,Import,0.48
VH0165,Renault,Clio,Evolution,Small Car,Hybrid,24000,1598.0,105,4.3,,,98,Euro 6d,38,5,Automatic,FWD,7,4,2020,True,2,True,Import,0.44
VH0166,Renault,Clio,Techno,Small Car,Hybrid,26500,1598.0,105,4.5,,,102,Euro 6d,46,5,Automatic,FWD,5,5,2020,True,2,False,Import,0.44
VH0167,Renault,Captur,Evolution,SUV,Petrol,25000,999.0,67,5.8,,,132,Euro 6d,97,5,Automatic,FWD,9,4,2021,True,2,False,Import,0.45
VH0168,Renault,Captur,Techno,SUV,Petrol,27500,999.0,67,6.0,,,137,Euro 6d,109,5,Automatic,FWD,7,5,2021,True,2,True,Import,0.45
VH0169,Renault,Austral,Evolution,SUV,Hybrid,38000,1199.0,147,4.7,,,105,Euro 6d,44,5,Automatic,FWD,7,4,2023,True,2,True,Import,0.44
VH0170,Renault,Austral,Techno,SUV,Hybrid,42000,1199.0,147,4.9,,,109,Euro 6d,52,5,Automatic,FWD,9,5,2023,True,2,True,Import,0.44
VH0171,Renault,Kangoo,Evolution,Van,Diesel,30000,1461.0,85,5.3,,,139,Euro 6d,233,5,Manual,FWD,9,4,2021,True,2,True,Import,0.43
VH0172,Renault,Kangoo,Techno,Van,Diesel,33000,1461.0,85,5.5,,,145,Euro 6d,248,5,Automatic,FWD,6,5,2021,True,2,True,Import,0.43
VH0173,Renault,Megane E-Tech,Evolution,Compact,Electric,42000,,160,,16.1,470.0,0,BEV,0,5,Single-Speed,FWD,5,4,2022,True,2,True,Import,0.38
VH0174,Renault,Megane E-Tech,Techno,Compact,Electric,46000,,160,,16.4,456.0,0,BEV,0,5,Single-Speed,FWD,7,4,2022,True,2,True,Import,0.38
VH0175,Dacia,Sandero,Essential,Small Car,Petrol,14000,999.0,66,5.6,,,127,Euro 6d,86,5,Manual,FWD,7,5,2021,True,3,True,Import,0.52
VH0176,Dacia,Sandero,Expression,Small Car,Petrol,15500,999.0,66,5.8,,,132,Euro 6d,97,5,Manual,FWD,7,5,2021,True,3,True,Import,0.52
VH0177,Dacia,Duster,Essential,SUV,Petrol,20000,1333.0,96,6.3,,,143,Euro 6e,131,5,Automatic,FWD,7,5,2024,True,3,True,Import,0.54
VH0178,Dacia,Duster,Expression,SUV,Petrol,22000,1333.0,96,6.5,,,149,Euro 6e,146,5,Automatic,FWD,8,5,2024,True,3,False,Import,0.54
VH0179,Dacia,Jogger,Essential,Van,Hybrid,25000,1598.0,103,4.8,,,109,Euro 6d,60,7,Automatic,FWD,5,5,2022,True,3,True,Import,0.5
VH0180,Dacia,Jogger,Expression,Van,Hybrid,27500,1598.0,103,5.0,,,113,Euro 6d,68,7,Automatic,FWD,7,5,2022,True,3,True,Import,0.5
VH0181,Dacia,Spring,Essential,Small Car,Electric,18000,,48,,13.2,225.0,0,BEV,0,4,Single-Speed,FWD,9,5,2021,True,3,False,Import,0.36
VH0182,Dacia,Spring,Expression,Small Car,Electric,20000,,48,,13.5,218.0,0,BEV,0,4,Single-Speed,FWD,8,5,2021,True,3,True,Import,0.36
VH0183,Tesla,Model 3,Standard,Sedan,Electric,42000,,208,,13.2,513.0,0,BEV,0,5,Single-Speed,RWD,6,4,2021,True,2,False,Domestic,0.41
VH0184,Tesla,Model 3,Long Range,Sedan,Electric,46000,,208,,13.5,498.0,0,BEV,0,5,Single-Speed,RWD,8,5,2021,True,2,True,Domestic,0.41
VH0185,Tesla,Model Y,Standard,SUV,Electric,46000,,220,,15.7,565.0,0,BEV,0,5,Single-Speed,RWD,5,5,2022,True,2,True,Domestic,0.4
VH0186,Tesla,Model Y,Long Range,SUV,Electric,50500,,220,,16.0,548.0,0,BEV,0,5,Single-Speed,RWD,5,4,2022,True,2,True,Domestic,0.4
VH0187,MINI,Cooper,Essential,Small Car,Petrol,28000,1499.0,115,5.9,,,134,Euro 6e,112,4,Manual,FWD,8,5,2024,True,2,False,Import,0.5
VH0188,MINI,Cooper,Classic,Small Car,Petrol,31000,1499.0,115,6.1,,,139,Euro 6e,124,4,Manual,FWD,6,5,2024,True,2,False,Import,0.5
VH0189,MINI,Cooper SE,Essential,Small Car,Electric,35000,,160,,14.8,305.0,0,BEV,0,4,Single-Speed,FWD,8,5,2021,True,2,True,Import,0.42
VH0190,MINI,Cooper SE,Classic,Small Car,Electric,38500,,160,,15.1,296.0,0,BEV,0,4,Single-Speed,FWD,9,5,2021,True,2,True,Import,0.42
VH0191,MINI,Countryman,Essential,SUV,Petrol,38000,1499.0,125,6.4,,,146,Euro 6e,141,5,Automatic,AWD,7,5,2024,True,2,False,Import,0.49
VH0192,MINI,Countryman,Classic,SUV,Petrol,42000,1499.0,125,6.6,,,152,Euro 6e,156,5,Automatic,AWD,9,5,2024,True,2,True,Import,0.49
VH0193,MG,ZS,Standard,SUV,Petrol,22000,1498.0,78,6.3,,,143,Euro 6d,134,5,Automatic,FWD,5,5,2021,True,7,True,Import,0.35
VH0194,MG,ZS,Comfort,SUV,Petrol,24000,1498.0,78,6.5,,,149,Euro 6d,149,5,Manual,FWD,8,4,2021,True,7,True,Import,0.35
VH0195,MG,HS,Standard,SUV,Plug-in Hybrid,38000,1498.0,190,1.8,,,41,Euro 6d,30,5,Manual,FWD,8,5,2023,True,7,False,Import,0.36
VH0196,MG,HS,Comfort,SUV,Plug-in Hybrid,42000,1498.0,190,2.0,,,43,Euro 6d,30,5,Automatic,FWD,5,5,2023,True,7,False,Import,0.36
VH0197,MG,MG4 Electric,Standard,Compact,Electric,35000,,150,,16.0,450.0,0,BEV,0,5,Single-Speed,RWD,8,5,2022,True,7,True,Import,0.36
VH0198,MG,MG4 Electric,Comfort,Compact,Electric,38500,,150,,16.3,436.0,0,BEV,0,5,Single-Speed,RWD,5,4,2022,True,7,False,Import,0.36
VH0199,MG,MG5 Estate,Standard,Estate,Electric,36000,,115,,17.0,400.0,0,BEV,0,5,Single-Speed,FWD,5,5,2022,True,7,True,Import,0.34
VH0200,MG,MG5 Estate,Comfort,Estate,Electric,39500,,115,,17.3,388.0,0,BEV,0,5,Single-Speed,FWD,7,4,2022,True,7,False,Import,0.34
